,att_lineal_error,multilineal_error,tree_error,rf_error,abs_lineal_error,abs_multilineal_error,abs_tree_error,abs_rf_error
count,5852.0,5852.0,5852.0,5852.0,5852.0,5852.0,5852.0,5852.0
mean,-0.18,0.03,-0.11,-0.11,0.27,0.22,0.33,0.24
std,0.27,0.29,0.42,0.29,0.18,0.18,0.29,0.19
min,-1.18,-1.14,-2.15,-1.1,0.0,0.0,0.0,0.0
25%,-0.36,-0.15,-0.35,-0.29,0.13,0.08,0.11,0.09
50%,-0.21,0.03,-0.08,-0.12,0.25,0.18,0.25,0.2
75%,-0.02,0.2,0.14,0.05,0.39,0.31,0.47,0.34
max,1.13,1.36,1.45,1.19,1.18,1.36,2.15,1.19
