,att_lineal_error,multilineal_error,tree_error,rf_error,abs_lineal_error,abs_multilineal_error,abs_tree_error,abs_rf_error
count,5587.0,5587.0,5587.0,5587.0,5587.0,5587.0,5587.0,5587.0
mean,-0.1,0.14,-0.04,-0.05,0.26,0.25,0.32,0.24
std,0.3,0.29,0.42,0.3,0.18,0.21,0.27,0.19
min,-0.9,-0.82,-1.89,-1.27,0.0,0.0,0.0,0.0
25%,-0.31,-0.05,-0.3,-0.24,0.12,0.09,0.11,0.1
50%,-0.14,0.12,-0.03,-0.07,0.23,0.19,0.26,0.19
75%,0.08,0.3,0.22,0.13,0.36,0.35,0.46,0.34
max,1.61,1.86,1.9,1.55,1.61,1.86,1.9,1.55
