,att_lineal_error,multilineal_error,tree_error,rf_error,abs_lineal_error,abs_multilineal_error,abs_tree_error,abs_rf_error
count,5852.0,5852.0,5852.0,5852.0,5852.0,5852.0,5852.0,5852.0
mean,-0.16,0.03,-0.1,-0.1,0.21,0.16,0.23,0.17
std,0.19,0.21,0.29,0.2,0.14,0.13,0.2,0.14
min,-0.99,-1.12,-1.8,-1.11,0.0,0.0,0.0,0.0
25%,-0.28,-0.1,-0.26,-0.21,0.1,0.06,0.08,0.07
50%,-0.17,0.03,-0.08,-0.1,0.19,0.13,0.18,0.14
75%,-0.04,0.16,0.08,0.02,0.29,0.23,0.32,0.24
max,0.84,1.03,1.08,0.88,0.99,1.12,1.8,1.11
