,att_lineal_error,multilineal_error,tree_error,rf_error,abs_lineal_error,abs_multilineal_error,abs_tree_error,abs_rf_error
count,5698.0,5698.0,5698.0,5698.0,5698.0,5698.0,5698.0,5698.0
mean,-0.02,-0.07,0.1,0.09,0.24,0.21,0.3,0.22
std,0.3,0.27,0.39,0.28,0.18,0.17,0.27,0.19
min,-0.98,-1.03,-2.37,-1.23,0.0,0.0,0.0,0.0
25%,-0.23,-0.24,-0.11,-0.09,0.11,0.08,0.1,0.08
50%,-0.08,-0.06,0.09,0.05,0.21,0.17,0.23,0.16
75%,0.15,0.1,0.32,0.26,0.32,0.3,0.42,0.31
max,1.3,1.13,1.86,1.32,1.3,1.13,2.37,1.32
