ID,coords,att_12,att_12_m_I,att_12_g_C,sect1,sect2,sect3,sect4,maximo,maximo_2,maximo_3,ratio32,area1,area12,area2,area3,kurt_1,kurt_2,middle_maximo,mean,var,skew,kurt,geo_mean,har_mean,entr,att_12_prof,porosity,l_n_voids,l_RVB
00000,"['0', '3', '0', '3']",17.471618935283754,0.1584766990415544,0.7480588289837636,7.100829175027339,2.029906392974647,0.0,2.029906392974647,31.0,4.112111111111111,19.0,4.687729176373062,143.18518518518513,36.77777777777778,27.851851851851848,121.29629629629628,1.7665835602828441,1.3259081200092107,3.6666666666666665,1.4933333333333334,1.2655555555555553,0.3266714088346524,-0.729591644163208,0.25826222570878765,0.0005242957382796723,2.871684875166552,16.58021445897905,1.2151919191919192,6,0.5593496475595159
00001,"['0', '3', '1', '4']",19.080775452252777,0.3306413074025933,0.5219530690513509,7.6603349688602815,7.957997987097055,2.2403498159041275,4.2702562088787746,36.22222222222222,4.001,19.0,5.052323134477309,178.03703703703704,43.59259259259259,29.685185185185187,128.34259259259258,1.709316770795004,0.7531508871515857,4.444444444444445,1.8044444444444443,1.6188888888888886,0.33434930245567895,-0.708071628958492,0.5537062574921622,0.24220197356419598,2.9095448288920487,18.832564230141735,0.8932525252525253,6,0.5600235208974127
00002,"['0', '3', '2', '5']",20.310616450034022,-0.05402790022678133,1.0139949296646353,8.035205782535122,13.756874845727301,2.2403498159041275,4.2702562088787746,43.333333333333336,4.223222222222223,19.333333333333332,5.024570810213209,212.18518518518516,54.444444444444436,31.259259259259256,135.14814814814815,1.611103522441214,0.7786572527922779,5.555555555555555,2.2622222222222224,2.106296296296296,0.39953223858666775,-0.48584471201217017,1.029335853061942,0.5233461306380934,2.9685843705497654,22.487201259916635,0.5111313131313131,6,0.6047982293189993
00003,"['0', '3', '3', '6']",20.409803133088797,0.27220055656113956,0.5509459564247338,9.276207756210852,17.474257601295342,2.2403498159041275,4.684402434846381,48.44444444444444,4.778777777777778,19.88888888888889,4.780251600968969,228.66666666666666,61.407407407407405,32.5462962962963,137.48148148148147,1.624303786434651,1.5791462325441208,6.555555555555555,2.5644444444444443,2.5007407407407403,0.6131849533553132,0.11952427449707272,1.421130354713405,0.8212507733163448,3.004654618992474,21.01328431552541,0.43666666666666665,5,0.5964839232014805
00004,"['0', '3', '4', '7']",18.56370120249308,0.2804800060727063,0.5207063903052292,10.152315259406173,16.483934063437488,1.930912134812372,8.644676069913901,56.333333333333336,7.112111111111111,16.77777777777778,3.1686631274921577,241.11111111111111,74.0,41.94444444444444,115.4537037037037,1.3971338963470874,3.0982418625107524,8.777777777777779,3.1066666666666665,4.815185185185186,0.8950878393064556,0.7656315062767107,1.9308633740058627,1.067668496418717,3.0049706781163334,19.45439617075714,0.376,5,0.6549000644745325
00005,"['0', '3', '5', '8']",16.497059778293025,0.3138728969798432,0.5234663502010607,9.751511285408391,15.476605912860574,7.893436756808413,8.644676069913901,61.22222222222222,9.667666666666667,13.555555555555555,1.9131148105702356,258.7037037037037,81.22222222222221,54.37037037037036,94.73148148148147,0.9325677835760027,3.80105086580911,10.666666666666666,3.4577777777777774,8.374444444444444,1.012940332600705,0.745945413003358,1.5512851669337993,0.7865375967365011,2.9185730557529834,17.032574853355204,0.4251717171717172,3,0.6253919984795211
00006,"['0', '3', '6', '9']",14.75819153464806,0.2159059978548074,0.6010791138452729,8.830206773840509,14.136691479441774,13.133292944354977,6.200623450971646,64.0,11.889888888888889,10.11111111111111,0.9329024832093196,261.7037037037037,90.29629629629628,65.55555555555554,71.97222222222221,0.405228504837476,3.722318496065608,12.666666666666666,3.9155555555555557,12.446666666666665,1.0920132872625543,0.5181395037570464,1.2372998587615112,0.4886329723647748,2.8395056446818283,14.873927611485087,0.5453737373737374,3,0.6211290561564676
00007,"['0', '3', '7', '10']",13.743852938394214,0.2084095039732614,0.6455859783988681,8.454542299198184,13.470379444466403,16.91254392849344,5.444764347231762,60.44444444444444,12.556555555555557,10.444444444444445,0.9012258519927797,242.55555555555554,92.1111111111111,67.02777777777777,72.53703703703702,0.20060660039221467,3.558454194221641,12.88888888888889,4.0311111111111115,13.825555555555555,1.0373563960819574,0.19140765760635844,0.9410024522215521,0.0009208612841593186,2.8106431033373465,14.436127542362183,0.6212727272727272,4,0.6152245309400709
00008,"['0', '3', '8', '11']",13.217018020435141,0.1974727044352901,0.6645370185934933,11.516984375115209,13.158806858645661,10.950019306497403,10.972515123381495,56.888888888888886,12.556555555555557,10.444444444444445,0.9012258519927797,223.0,91.7037037037037,63.907407407407405,72.42592592592591,0.3893933847143542,3.915434944188328,12.555555555555555,4.022222222222222,12.822962962962963,1.007506214278736,0.17104315358139507,1.0286554929451244,0.0009671411077109465,2.8334297159789354,13.815758557380317,0.9096565656565657,4,0.5255618726125966
00009,"['0', '3', '9', '12']",12.738290880870238,0.17843146897421502,0.6578191219543666,14.311475248928796,13.727852567627394,5.710163118950836,16.332103763754077,53.44444444444444,12.445444444444446,10.555555555555555,0.9109472814528203,237.22222222222223,83.55555555555556,61.62037037037036,71.89814814814814,0.7333868057180367,4.521730209420138,11.11111111111111,3.657777777777778,9.666296296296297,0.9181884455643482,0.12548102514273018,1.082607338558877,0.0010411629590302122,2.8707652283737044,13.31952365777271,0.9642222222222222,4,0.5021475413270757
