,att_lineal_error,multilineal_error,tree_error,rf_error,abs_lineal_error,abs_multilineal_error,abs_tree_error,abs_rf_error
count,5587.0,5587.0,5587.0,5587.0,5587.0,5587.0,5587.0,5587.0
mean,-0.07,0.14,-0.03,-0.03,0.18,0.19,0.22,0.16
std,0.21,0.2,0.28,0.2,0.13,0.15,0.18,0.13
min,-0.73,-0.56,-1.42,-0.77,0.0,0.0,0.0,0.0
25%,-0.22,0.02,-0.2,-0.16,0.08,0.07,0.08,0.06
50%,-0.09,0.13,-0.02,-0.03,0.16,0.16,0.18,0.13
75%,0.05,0.25,0.15,0.1,0.26,0.27,0.31,0.23
max,0.89,1.02,1.14,0.85,0.89,1.02,1.42,0.85
