,att_lineal_error,multilineal_error,tree_error,rf_error,abs_lineal_error,abs_multilineal_error,abs_tree_error,abs_rf_error
count,5889.0,5889.0,5889.0,5889.0,5889.0,5889.0,5889.0,5889.0
mean,0.36,-0.1,0.23,0.23,0.39,0.32,0.34,0.31
std,0.38,0.37,0.42,0.37,0.35,0.22,0.33,0.31
min,-0.51,-1.07,-1.3,-0.63,0.0,0.0,0.0,0.0
25%,0.07,-0.36,-0.04,-0.04,0.11,0.15,0.09,0.08
50%,0.27,-0.17,0.15,0.14,0.28,0.28,0.24,0.2
75%,0.58,0.1,0.47,0.45,0.58,0.45,0.5,0.46
max,2.25,1.71,2.29,2.27,2.25,1.71,2.29,2.27
