ID,coords,att_12,att_12_m_I,att_12_g_C,sect1,sect2,sect3,sect4,maximo,maximo_2,maximo_3,ratio32,area1,area12,area2,area3,kurt_1,kurt_2,middle_maximo,mean,var,skew,kurt,geo_mean,har_mean,entr,att_12_prof,porosity
00000,"['0', '5', '0', '5']",18.584136449207037,0.413308846482649,0.5575430409709152,8.452930354481003,9.080583345612213,4.145638763141898,8.436739118055476,38.84,4.521,14.6,3.5956604287227303,183.92,48.86666666666666,33.86333333333334,99.38,1.7920645905720465,0.5923726593779868,5.04,2.0272,1.988533333333333,0.42780492997848013,-0.45870036389757074,0.7550664033615072,0.28594047356094876,2.936845766675566,16.58021445897905,0.8661454545454546
00001,"['0', '5', '1', '6']",18.827090093089293,0.6429798858419686,0.4195459981121838,9.04154110022298,10.3489126160135,4.240612453634351,7.070199848582445,41.68,4.721,14.76,3.5885559353680514,190.50666666666663,54.29333333333333,34.28333333333333,99.49666666666666,1.7708751789482722,0.819397934311987,5.6,2.2464,2.2171999999999996,0.5488433516917588,-0.18587390557393013,1.1270662588928868,0.6277114403358982,2.9627714223337365,18.832564230141735,0.84368
00002,"['0', '5', '2', '7']",19.00563895293873,0.38363771767661664,0.5924681104353751,9.379337536624853,12.977218454898951,5.176308001420175,8.855209796241805,47.16,5.361000000000001,15.0,3.4068190745900653,207.15999999999997,62.18666666666666,37.36000000000001,103.18666666666667,1.7013862389452066,1.3505768376019498,6.6,2.5888,2.8496000000000006,0.6488969558508139,0.09878905211590532,1.4983309418322432,0.9669237057011516,2.986855424753512,22.487201259916635,0.6312800000000001
00003,"['0', '5', '3', '8']",18.632963061543613,0.4459351411019505,0.5171895835391683,9.82701704592045,15.143250710569056,7.2254601846904665,11.694157958530068,55.12,6.961,13.52,2.827554212334893,236.64,74.65333333333331,45.24999999999999,96.52333333333334,1.4875622280558705,1.9648993119184934,8.6,3.1392,5.162933333333334,0.805048712688455,0.40749323021887407,1.9262667921136047,1.142754586005203,2.992604833906937,21.01328431552541,0.4432218181818182
00004,"['0', '5', '4', '9']",17.68642083569954,0.7259041108130416,0.22854830062180664,9.83402948269736,15.783336372760607,9.80618050144781,10.355769889458784,60.44,8.761000000000001,12.16,2.286636755471687,258.1333333333333,84.10666666666664,53.26999999999999,88.01333333333332,1.1670097388809701,2.567292778543071,10.36,3.5664,8.295733333333335,0.9570303616485321,0.5739648939903428,1.9187106214853662,1.1427179504031983,2.958102097450415,19.45439617075714,0.41616
00005,"['0', '5', '5', '10']",16.113324845575907,0.7210205776904787,0.22603746237293793,9.341211673215728,14.880604924160334,10.386235975952411,8.789049125497424,63.44,10.761,10.76,1.5927212465008664,265.9866666666666,92.09333333333332,61.84,78.86333333333333,0.8246128472873953,3.228065320784725,11.96,3.9440000000000004,11.470800000000002,1.0309009357633485,0.6156385508447941,1.7640296633169157,0.8575376248426625,2.915210768800055,17.032574853355204,0.37778181818181816
00006,"['0', '5', '6', '11']",14.62311267554041,0.6104593028662235,0.31570210186784936,9.541132577602381,13.994519208977016,12.90111669521757,11.426006095822261,64.32,12.520999999999999,9.32,1.0614985678544047,264.81333333333333,98.10666666666665,68.90333333333334,69.60999999999999,0.5841393405162315,3.6881595497781645,13.2,4.239999999999999,13.848533333333334,1.0901373672158094,0.588681679722739,1.77319779765929,0.6472299337599989,2.8847733826915825,14.873927611485087,0.4025963636363637
00007,"['0', '5', '7', '12']",13.405877232900252,0.5318198379515329,0.40145204363891673,10.475082589686403,13.335126194958548,12.566024578740723,12.064616166135943,63.76,13.841,7.72,0.6512814301530324,262.49333333333334,102.23999999999998,73.83999999999999,59.143333333333324,0.4059565220815001,3.8350539768006144,13.84,4.430400000000001,15.167066666666667,1.060867994141783,0.3444426702950841,1.6367872212287056,0.45349871586902507,2.8571747978188338,14.436127542362183,0.5430327272727272
00008,"['0', '5', '8', '13']",12.637705349207284,0.5032414961839532,0.44669633625961946,11.42412836777799,13.482729422973271,11.204891001194028,11.54714844551809,60.08,14.200999999999999,7.92,0.6439252717303267,256.87999999999994,97.53333333333332,74.16666666666667,59.63999999999999,0.43215400867268633,3.9996600620980933,12.92,4.2368,13.804133333333333,0.9181231750102771,0.04168556462008757,1.3351556904962272,0.2777392209265518,2.85294162697313,13.815758557380317,0.5821018181818182
00009,"['0', '5', '9', '14']",12.095364462321719,0.482368201628528,0.46005071271905507,12.374781569794031,14.273504212646317,8.654902581549349,13.693223274414725,57.04,14.401,8.0,0.6461997995261847,248.22666666666663,90.22666666666666,74.09333333333333,59.60999999999999,0.5948117516828388,4.240846279900783,11.48,3.9263999999999997,10.89813333333333,0.7580508809515846,-0.1076920828033665,1.3898056531607283,0.27780251227969666,2.89231065529182,13.31952365777271,0.56896
00010,"['0', '5', '10', '15']",11.625348481891972,0.5201570605015531,0.4374420694246642,13.060131303452776,15.61136634966483,5.5819362967745665,15.716561389281091,54.84,14.640999999999998,8.2,0.6497274000600379,246.4,81.46666666666665,75.02666666666666,60.24333333333333,0.8424430016038076,4.524034241092485,9.64,3.5312,7.625199999999999,0.5381858515378597,-0.2671554970330324,1.365350680904586,0.2778125221886192,2.9339993936177766,12.793181664673357,0.587629090909091
00011,"['0', '5', '11', '16']",11.268042015868193,0.5194106839477707,0.4305154325034375,13.286924856964246,15.496739841165388,2.1457179105810953,14.855541392887869,53.8,15.001,8.28,0.644321996579288,249.78666666666663,71.85333333333332,77.66666666666667,61.69666666666666,1.1066893120261672,4.638681534727183,7.84,3.1071999999999997,5.003333333333333,0.3275738136471822,-0.5058942981579405,1.0994500186951115,0.1464591562209687,2.958414734871492,12.610393004426253,0.5240290909090909
00012,"['0', '5', '12', '17']",11.00526301747939,0.48240917811972994,0.4862290043352801,12.160232084738684,15.314697394725245,2.430438021817536,14.877372223780597,53.56,15.401,8.44,0.6434674380208559,253.67999999999995,64.44,80.94333333333333,64.39333333333333,1.3006056252203293,4.677540535459952,6.4,2.784,3.2381333333333333,0.13837499912155463,-0.6815676571305351,1.0020755445533192,0.0010828060168563457,2.986026865349442,11.668202759659634,0.43568727272727276
00013,"['0', '5', '13', '18']",10.905082177312757,0.4182768233738717,0.5114302509972524,11.349735622532577,16.171374303850044,3.444746615446694,14.790137963950764,53.96,15.720999999999998,8.52,0.6457632719185251,249.42666666666668,61.29333333333333,83.27,66.71666666666665,1.466365349862058,4.705599478993527,5.72,2.6304000000000003,2.6156,0.07464328673822203,-0.804125162560413,0.9571887516606503,0.0010495148814448569,2.995919284505313,11.854930930366173,0.3967636363636363
00014,"['0', '5', '14', '19']",11.074996831893914,0.48887981600620184,0.46397645087313066,11.16330253626643,16.313300992996552,5.185978773662497,14.840221302586901,54.48,15.600999999999999,8.68,0.6702622458495636,245.54666666666668,60.853333333333325,81.87333333333333,68.21333333333332,1.6411545545462283,4.802463188124829,5.68,2.6016000000000004,2.7225333333333332,0.13492565712627422,-0.8058245693599284,0.9371031809446019,0.001039514678757785,2.983904790173167,11.854930930366173,0.4628072727272727
00015,"['0', '5', '15', '20']",11.539879024827398,0.5554592824142209,0.38873134565225986,10.827399448939598,16.16092780308477,5.185978773662497,13.778010177309357,55.12,15.040999999999999,8.76,0.7137322616743748,232.52,59.83999999999999,77.59333333333333,70.38333333333333,1.7405720159412865,4.920262480038895,5.88,2.5696,3.1558666666666664,0.27264953598625913,-0.8100806391160755,0.8495239575512674,0.0009681282328467668,2.9484421112652033,12.610393004426253,0.4750981818181818
00016,"['0', '5', '16', '21']",12.106457217791508,0.6107918703360565,0.3492047220143791,10.199729055683221,17.41121804932256,5.185978773662497,13.070588240555413,55.6,14.241,8.84,0.7651922760574605,236.45333333333332,59.75999999999999,72.35,71.04,1.749174944531926,5.186282071056127,6.28,2.5616,3.8320000000000003,0.40380476093850576,-0.7512166754814124,0.6991637001383897,0.0008215767103661942,2.902382709169604,13.437875749640478,0.5036945454545454
00017,"['0', '5', '17', '22']",12.595854058214995,0.5383545500757325,0.40323448048178384,10.240882236731498,18.602448967599134,5.9114348730333175,13.676335589670439,56.16,13.600999999999999,8.92,0.8092728472044055,240.13333333333333,59.17333333333333,67.89333333333333,71.58333333333331,1.785194147835457,5.41816941750061,6.72,2.5536000000000003,4.327066666666667,0.5636223996628816,-0.6622006923578588,0.6308263896027729,0.0007616137677405475,2.871423350891132,14.352572189317655,0.4234254545454545
00018,"['0', '5', '18', '23']",12.949226109459692,0.44925041963051193,0.4941421930236869,10.18401086451033,18.555886451836304,4.209107673680562,14.000630042051274,56.84,13.161,9.08,0.8400765912378532,236.36,60.37333333333333,65.11666666666666,71.69,1.7913137455440284,5.46480849340856,6.84,2.616,4.6240000000000006,0.5945031621965523,-0.6936019005526717,0.7279363865477331,0.08764753814356627,2.8702606024604744,14.535343319139088,0.36256
00019,"['0', '5', '19', '24']",13.116316446482564,0.444779688249727,0.49385913394017444,9.810119388886292,18.607995899010415,3.1960607227358975,12.667162422506342,57.4,13.001,9.08,0.8433443331515107,228.37333333333333,63.46666666666666,64.43333333333334,73.43,1.8081495061493065,5.4852641951112515,6.92,2.7184,4.809066666666667,0.5630383441536433,-0.7759910229090801,0.8611641807945608,0.1866876512861532,2.8810181409234525,14.714343714292841,0.31388363636363636
00020,"['0', '5', '20', '25']",13.157632017052908,0.44860863027178904,0.48782809092429646,10.216901490251876,18.470892126319708,3.1960607227358975,14.065074404746197,57.68,13.001,9.16,0.8522322344958059,239.57333333333332,67.37333333333333,65.17999999999999,72.78000000000002,1.7417682692987442,5.388831823082852,7.04,2.8304,4.848400000000001,0.5342448809887754,-0.8138913321900958,0.999183595995029,0.18680898618756336,2.9069191694081074,13.79966655704817,0.3465890909090909
00021,"['0', '5', '21', '26']",13.254642555920244,0.43583897268944327,0.49516287819940336,10.540666245495887,18.65627904288678,3.9493632919415664,15.75539323516221,57.8,12.921,9.24,0.8750483394923124,242.50666666666663,68.13333333333333,66.02,72.78333333333333,1.5792728952317718,5.0042212713858625,6.96,2.8703999999999996,4.714,0.5244728190182821,-0.8401853394312634,1.0837488268847881,0.18690554138554544,2.9253913659960555,13.79966655704817,0.35396363636363637
00022,"['0', '5', '22', '27']",13.230771046883612,0.44673191691624925,0.5331121580532017,11.073049451669792,18.802597936056237,3.133242187062757,15.554193544161981,57.68,12.921,9.32,0.8839362408366075,242.69333333333333,67.66666666666667,66.36333333333333,72.67000000000002,1.457196214973497,4.845641761160008,7.04,2.8528,4.751333333333334,0.5872306596680995,-0.7217255706736637,1.0820311402344915,0.18693213918376939,2.9225854594706133,14.535343319139088,0.42025454545454544
00023,"['0', '5', '23', '28']",13.251000048754884,0.4367389765183099,0.53014020030967,11.275621433627848,18.73090524002881,5.6486901883669205,15.510281326625439,57.24,12.800999999999998,9.32,0.8976175990368188,248.62666666666667,63.74666666666666,66.14333333333333,73.93333333333334,1.3689761658866806,4.708325877270334,7.2,2.7552,4.772666666666667,0.7122291149667835,-0.46681145189873213,0.9525563734441809,0.10006279720404165,2.9018676444560043,15.557815036725067,0.503330909090909
00024,"['0', '5', '24', '29']",13.353919569582104,0.42053234248387455,0.563421600194963,11.592320335477943,18.72239779436202,6.637424706650895,13.7613647886156,56.88,12.561,9.4,0.9227667359901917,263.06666666666666,60.45333333333333,66.77333333333333,73.48333333333333,1.1538689188476874,4.43424788934434,7.12,2.6704000000000003,4.486666666666667,0.776864933353169,-0.30795313569818794,0.9308591587925629,0.09917155203998755,2.904789853015745,14.352572189317655,0.48373818181818184
00025,"['0', '5', '25', '30']",13.556431612991776,0.4094117573279546,0.5175771309816012,11.167753993128843,18.89567187417218,9.211440305754534,12.017557306642871,56.6,12.200999999999999,9.4,0.9472791774079262,270.0133333333333,58.50666666666667,67.23333333333333,74.6,0.9865168613097564,4.048499924285753,6.96,2.6304000000000003,4.094266666666667,0.7476017896587928,-0.19703720106902453,0.9411724427341015,0.09918820226564301,2.9177221393542343,14.165868124281966,0.41512727272727273
00026,"['0', '5', '26', '31']",13.591632108891066,0.5196516520166137,0.4435100135214437,10.438185205769539,18.941412620643273,11.095418523264252,8.400648649428943,56.24,12.040999999999999,9.4,0.9517015807498459,273.9066666666667,59.37333333333333,68.30999999999999,75.67,0.8419935574835817,3.8441681373191314,6.8,2.6464,3.5640000000000005,0.6283862747178658,-0.1318313175405548,1.1004180785494915,0.09938799331471065,2.9523839089771413,14.165868124281966,0.3859490909090909
00027,"['0', '5', '27', '32']",13.813198157948746,0.4979323395016916,0.43150343069680247,9.456884077789354,17.619763795994118,12.841038274151472,4.803350047649002,55.68,11.600999999999999,9.48,0.9906035536398612,277.25333333333333,60.78666666666666,68.48333333333333,77.09,0.6512439657271264,3.4968075487507555,6.28,2.6656,3.0504000000000002,0.4038668663852257,-0.2990226499709385,1.1468172903154155,0.09938806250963543,2.9843856331635674,15.188363942586669,0.3599636363636363
00028,"['0', '5', '28', '33']",14.096579567026408,0.423640937582389,0.5168287257506482,8.510626087699938,17.800891437704525,11.083816749895869,1.541421536164768,57.08,11.440999999999999,8.48,0.8907899906898975,276.53333333333336,66.78666666666666,70.16666666666666,70.13666666666667,0.4586776846401249,3.151078216068742,6.24,2.8127999999999997,3.069333333333333,0.2574133002491015,-0.4884508664221741,1.2233073398907628,0.09938814231401646,3.006024016200702,14.997566096366391,0.3786981818181818
00029,"['0', '5', '29', '34']",14.35626719355687,0.4121151716602805,0.5091203632151484,8.503213145630236,17.78248587065924,10.762952802085524,3.181174747250068,57.72,11.200999999999999,7.48,0.7957064681739722,270.8533333333333,68.28000000000002,68.85666666666667,63.69,0.2932190381637444,3.1253238744314205,6.44,2.8256,3.3959999999999995,0.24834885121373113,-0.4988554816586149,1.0790896311369855,0.0011993051803403682,2.982240807306161,14.802477863843242,0.34670545454545454
00030,"['0', '5', '30', '35']",14.576224121451979,0.4356831602787137,0.47116331968879516,9.178806599166434,17.704820884000554,8.940820005525715,3.2155246158236723,57.4,10.841,6.48,0.6928238239587866,264.56,66.28,65.75666666666666,57.93999999999999,0.14653660763921791,3.25929911811937,6.48,2.728,3.693733333333333,0.3294168326196722,-0.5213538626884522,0.9135776470729408,0.001052755531703827,2.9465463431260726,14.95889780336594,0.37124363636363633
00031,"['0', '5', '31', '36']",14.773196242475356,0.3787882418225322,0.5440090487675484,9.789780641038817,17.40445217277495,6.303539218810326,3.2155246158236723,56.36,10.401,5.56,0.6113654407196922,255.6533333333333,64.21333333333332,61.48666666666667,51.74,0.1290989675444914,3.391966593359909,6.6,2.6415999999999995,3.947999999999999,0.4577236853521737,-0.5010750427758696,0.7338313770417938,0.0008196971003802891,2.916265611377864,15.395553684830663,0.5171127272727273
00032,"['0', '5', '32', '37']",14.885745627739173,0.32851972114851324,0.6667880514473556,11.367588713415612,18.481043938911856,3.7632609308856804,5.617760967528118,55.36,10.081,4.56,0.5117389478439309,254.70666666666665,63.24,59.31333333333333,44.48666666666666,0.14303990077659812,3.331439400190693,6.88,2.6128000000000005,4.173066666666666,0.5843171753511812,-0.47695517494515743,0.6788637805069214,0.0007897009036296031,2.8974635469494427,15.557815036725067,0.5101236363636363
00033,"['0', '5', '33', '38']",14.938997121853259,0.28619375395256674,0.6794974701264824,12.61747708181475,17.838047335278954,3.005034453837125,7.244292019914266,52.44,9.481,4.56,0.5428287907281567,254.29333333333332,59.97333333333333,55.64666666666666,45.53333333333334,0.28750877624481264,3.162723723530247,6.92,2.496,3.9419999999999997,0.7253272574910509,-0.21793020997256915,0.6758691307086709,0.0008795196144560914,2.8927259780261694,16.156707483045434,0.48944
00034,"['0', '5', '34', '39']",15.135439623367988,0.30747436971325665,0.681236823652514,13.174037679410812,17.171916530344078,0.7518828025438288,6.424415414371618,49.72,8.801,4.56,0.5857750059470268,261.82666666666665,59.13333333333334,53.38333333333333,46.66333333333334,0.5147734145211663,2.793476462112967,7.0,2.4592,3.8774666666666673,0.8552372180771259,0.028414455314364914,0.7357451691602698,0.000952790911923401,2.897624318607216,15.762074331512183,0.5340872727272727
00035,"['0', '5', '35', '40']",15.462540319064141,0.48556861055968775,0.45009925925897526,13.224621975742673,16.32761046922632,0.0,4.848644009633245,46.28,8.001,4.64,0.6892304821198405,261.2133333333333,57.52,49.46333333333334,46.73666666666667,0.6439065603060601,2.625263052608027,7.12,2.4048,3.908,0.9266950456060087,0.17479699013968591,0.7024446516397974,0.0009228054679649008,2.8712360230074396,15.557815036725067,0.49132363636363635
