ID,coords,att_12,att_12_m_I,att_12_g_C,sect1,sect2,sect3,sect4,maximo,maximo_2,maximo_3,ratio32,area1,area12,area2,area3,kurt_1,kurt_2,middle_maximo,mean,var,skew,kurt,geo_mean,har_mean,entr,att_12_prof,porosity,l_n_voids,l_RVB
00000,"['0', '3', '0', '3']",10.49293129958874,0.16018910877364761,0.7094804682935174,8.390858431306897,0.0,0.0,14.023617860847926,37.888888888888886,11.445444444444444,2.6666666666666665,0.25093914645985227,185.037037037037,36.81481481481481,67.1574074074074,35.98148148148149,1.5558868618946085,1.5880230727413251,3.111111111111111,1.5599999999999998,1.012962962962963,0.0216084665707893,-1.1405921845474036,0.5320663175741,0.22279120604818795,2.913475817336305,11.01506161019977,0.0,1,0.0
00001,"['0', '3', '1', '4']",9.983670679117525,0.32690029320890346,0.5142400192361294,9.470696749506327,2.3305153000816343,0.0,13.605414103579243,42.111111111111114,13.556555555555557,2.6666666666666665,0.2153326369156256,200.85185185185185,43.29629629629629,74.93518518518518,36.96296296296296,1.744610510666468,2.079073653105564,3.3333333333333335,1.8666666666666663,1.017407407407407,0.028271313341527715,-1.1964322666629938,1.0236293424561207,0.5295225446604166,2.9942945171342057,10.234844764069297,0.0,1,0.0
00002,"['0', '3', '2', '5']",9.39404196782555,0.24358472074416143,0.5795906997747446,10.305835895518126,4.535568444192157,2.380821870968122,13.072871542721822,47.111111111111114,16.112111111111112,2.6666666666666665,0.1759387037568743,224.55555555555554,54.148148148148145,87.2037037037037,35.925925925925924,1.8501263628011375,2.511137744073756,3.888888888888889,2.351111111111111,1.073333333333333,0.03668811248939721,-1.089894948109782,1.796839355135843,1.3226774492374984,3.0883670669407746,9.34468086126284,0.0,1,0.0
00003,"['0', '3', '3', '6']",9.074299767181952,0.10525201031570681,0.7113579678664721,11.18686379430026,6.724139839662119,4.745165203402504,12.15557860313717,49.666666666666664,17.55655555555556,2.6666666666666665,0.15908126455794408,236.37037037037032,62.703703703703695,94.64814814814814,35.611111111111114,1.6582951260796337,2.9322422331232345,4.333333333333333,2.68,1.0666666666666662,0.05911626902452513,-0.9987650035372773,2.3639165464853127,1.922187613124323,3.1350655662035316,9.170260146144788,0.0,1,0.0
00004,"['0', '3', '4', '7']",8.901168848226336,0.14054623459957033,0.7493988040245986,10.403048730816595,6.724139839662119,7.075680503484139,11.71834166397005,49.888888888888886,18.001,2.6666666666666665,0.15529384094341944,242.77777777777777,67.29629629629629,97.48148148148147,33.68518518518518,1.305417998690742,3.2902998587587886,4.888888888888889,2.848888888888889,1.1729629629629628,0.12220743799144168,-0.6597909768665868,2.6247516626693543,2.3724827993264865,3.144734512337575,9.357006400189938,0.0,1,0.0
00005,"['0', '3', '5', '8']",8.68558917108529,0.23020290269991653,0.6137424570045558,10.52350655267024,6.8145421856512,4.694858632516016,10.965387482693492,48.666666666666664,18.001,2.6666666666666665,0.15529384094341944,250.0,65.85185185185185,95.62037037037038,33.870370370370374,1.2176952034948532,3.547288811903888,5.444444444444445,2.8,1.3511111111111112,0.3819382860133102,-0.06124167367291649,2.548355489577754,2.2772649655398163,3.1326089259619585,8.979408059396993,0.0,1,0.0
00006,"['0', '3', '6', '9']",8.438457887294001,0.17587007662522847,0.6785467156661513,10.44300441710002,8.638160524877149,2.3305153000816343,10.286500440595395,46.44444444444444,17.66766666666667,2.6666666666666665,0.15855221567535127,260.66666666666663,63.07407407407407,93.48148148148147,32.68518518518519,1.2037749497388042,3.6629932508840284,6.0,2.728888888888889,1.6025925925925923,0.5565780653359431,0.5062263484321149,2.3032258147899527,1.7289191639383121,3.110425758128468,8.584635439252791,0.0,1,0.0
00007,"['0', '3', '7', '10']",8.452097274440893,0.14363777730566274,0.6888764519182521,10.839933096932368,12.49226276390067,0.0,10.087033145630244,44.44444444444444,16.88988888888889,2.6666666666666665,0.16609853942010783,254.66666666666663,60.44444444444444,90.23148148148147,33.68518518518519,1.2526767274533301,3.5716820082914515,6.333333333333333,2.648888888888889,1.885185185185185,0.7594140366819123,0.9990148659624727,1.9194617738079016,0.9723781321416681,3.083878325708595,8.517058716985545,0.0,1,0.0
00008,"['0', '3', '8', '11']",8.903811416745093,0.27182229293752447,0.5543961380987162,10.571723401274443,16.116162824861373,0.0,10.538716479433162,42.666666666666664,15.445444444444446,2.6666666666666665,0.18295597861903803,237.4444444444444,58.22222222222222,84.02777777777779,34.42592592592593,1.10068174524231,3.661292286120214,6.111111111111111,2.5555555555555554,2.1048148148148145,0.6479483042734068,0.6819744112494328,1.4049653357725875,0.2745567813719958,3.045952123619227,8.896312123239138,0.05026262626262626,2,0.577572347266881
00009,"['0', '3', '9', '12']",9.734600033023437,0.330205296972153,0.5125528567791494,10.336004274777643,17.856807531173033,0.0,11.951682983605808,41.0,13.556555555555557,2.6666666666666665,0.21046487307304654,215.44444444444446,54.48148148148148,72.31481481481481,35.361111111111114,1.0038491798121323,4.007730581841221,5.777777777777778,2.413333333333333,2.2288888888888887,0.6470122570695902,0.43750778287851494,1.0183437993216429,0.0013415775186970313,3.0107030964735504,10.009296915073925,0.31137373737373736,3,0.5457081684292481
00010,"['0', '3', '10', '13']",10.62025117982333,0.2750756210512747,0.5480765902611074,10.28329272409351,13.748023588732787,0.0,13.247881007952593,39.111111111111114,11.667666666666669,2.6666666666666665,0.24373675565350789,215.22222222222223,51.0,62.0,34.56481481481481,0.8206063670984631,3.764734290960795,5.555555555555555,2.288888888888889,2.3885185185185187,0.4697922580813805,-0.19888895887911698,0.6831341915594419,0.0008422611919762916,2.961257666740229,11.122923657786643,0.7243434343434343,4,0.5266490029284618
00011,"['0', '3', '11', '14']",11.315101459068877,0.21001945567015667,0.5785651585752587,8.798278774401112,9.658933166020766,5.263373517241444,14.730398473695182,36.888888888888886,10.112111111111112,2.6666666666666665,0.27863780459703125,225.5925925925926,48.44444444444444,55.09259259259258,34.06481481481482,0.44596428609324396,3.1466810282450783,5.777777777777778,2.2044444444444444,3.007777777777778,0.49372929567682244,-0.5221055286107309,0.4576146420684037,0.0006433033014789288,2.8673041187306763,11.541447435624985,1.4544040404040404,5,0.46203103079466057
00012,"['0', '3', '12', '15']",11.661245177316887,0.20052023424138443,0.7095066287306833,7.787735496376651,9.341965766417092,10.550564067310422,15.054812678023527,35.55555555555556,9.334333333333333,2.6666666666666665,0.29962902355354454,253.14814814814812,49.148148148148145,56.72222222222221,34.07407407407407,-0.10493139962464539,1.9769815819028307,5.888888888888889,2.217777777777778,3.547407407407407,0.3853313088156457,-0.9216172771451903,0.26716286769115016,0.00045427785549936525,2.8051571311937136,12.03772616538995,1.3698181818181818,5,0.45689172049671123
00013,"['0', '3', '13', '16']",11.994620149987917,0.1739563266540329,0.645037348369159,6.866001596506182,12.257881426420365,15.894011353612699,15.31939765066317,35.666666666666664,9.001,2.6666666666666665,0.31056930537078015,277.8888888888889,51.33333333333333,58.25925925925925,35.25,-0.5166744809593785,1.4562159663915866,6.222222222222222,2.257777777777777,3.9574074074074073,0.4851058834439873,-0.85617756997996,0.23776837162648284,0.00042188784686245383,2.7766721503758323,12.03772616538995,0.9568484848484848,4,0.43288151338569375
00014,"['0', '3', '14', '17']",12.448643097632562,0.27179193514227673,0.5116325896159699,7.260732627727815,15.161517941742252,15.262905471019362,13.865001541952498,37.22222222222222,8.889888888888889,2.6666666666666665,0.3125891217713074,285.1111111111111,60.14814814814815,55.57407407407406,36.45370370370371,-0.7272702820886787,1.5350041710890308,6.777777777777778,2.537777777777778,4.881851851851852,0.5054837084246527,-0.8329180068551718,0.338170363744014,0.00048205148436091357,2.80391579534568,12.564087882132274,0.468969696969697,4,0.5214956491772207
