ID,coords,att_12,att_12_m_I,att_12_g_C,sect1,sect2,sect3,sect4,maximo,maximo_2,maximo_3,ratio32,area1,area12,area2,area3,kurt_1,kurt_2,middle_maximo,mean,var,skew,kurt,geo_mean,har_mean,entr,att_12_prof,porosity,l_n_voids
00000,"['0', '5', '0', '5']",13.610104459183903,0.19577751718320358,0.7734549747648936,10.723228049642385,17.74074134330239,19.282652665192256,0.0,54.4,11.360999999999999,9.88,0.9538601050093795,249.26666666666665,74.74666666666666,68.73,96.38,1.4036737363674043,1.918121486973942,7.16,3.048,4.615466666666667,0.2609002821241404,-0.7915013928762394,0.8451077403603712,0.0008480431281944484,2.944835264497205,13.779957943682321,0.25584355555555555,7
00001,"['0', '5', '1', '6']",14.040324656336514,0.4024912583946841,0.49305930325310626,10.610903318454824,17.862510086163546,19.343773645236283,0.0,55.04,10.960999999999999,9.96,1.0066116292093907,252.21333333333328,78.75999999999998,67.16999999999999,97.46666666666665,1.2619659868670112,1.9544669686020528,7.2,3.2352000000000003,5.296133333333334,0.1349871245795483,-0.9390368534121442,0.8762808807634938,0.0008430553015796602,2.9457417203697793,13.620656520779878,0.2987662222222222,9
00002,"['0', '5', '2', '7']",14.859687725116414,0.6851331896312621,0.24890002603366185,10.653573100022557,17.492766673885818,19.60942647167483,0.9539581014906183,58.84,10.640999999999998,8.96,0.919772038038253,267.8533333333333,87.45333333333333,65.51333333333334,88.39666666666666,1.2056675701894108,2.2038707825460233,8.16,3.6415999999999995,7.8384,0.13087564252958492,-1.0815626803518412,0.8876028150722847,0.0008164063822870578,2.9213366405140944,13.79966655704817,0.2972871111111111,11
00003,"['0', '5', '3', '8']",15.935792392546034,0.789688332874362,0.17652593759530683,10.754063235311408,17.522275682286548,20.10311455422105,1.9166986349222745,63.12,10.121,7.96,0.8477511953840753,284.8133333333333,91.73333333333332,63.14333333333333,80.31666666666666,1.0405896293897465,2.2925632016155038,8.68,3.88,9.174533333333331,0.12604332796067305,-1.2387311696223868,0.8620540570850216,0.0007747666136527709,2.900953355232169,15.912173361614006,0.31965866666666665,14
00004,"['0', '5', '4', '9']",17.001098288010933,0.7330710741540288,0.22028847515454056,9.837972245879934,17.86751275872442,20.700285049715234,4.78696826058953,67.04,9.521,6.96,0.7898816819105108,302.5333333333333,94.79999999999998,60.20666666666666,71.47999999999999,0.7420913222049811,2.2383479943817526,8.84,4.056,9.563466666666665,0.07651241222480434,-1.3701649822100836,1.0771251319235782,0.001032773256156532,2.9112118036356014,18.189412973157452,0.6556586666666667,19
00005,"['0', '5', '5', '10']",18.00392241182056,0.5891100505087079,0.35550431041328323,9.064151409480475,18.105475119148664,20.447919291678986,7.652981756856475,70.52,8.921,5.88,0.7240129683569545,322.02666666666664,95.58666666666666,57.93,61.85666666666667,0.543474410717102,2.101853367721446,9.0,4.1232,9.643199999999998,0.11441937145298792,-1.3296011562412584,1.2387697607957415,0.0012258740039675373,2.9230271969706187,19.611225592638682,0.8379448888888889,21
00006,"['0', '5', '6', '11']",18.394884989244616,0.3344899950855065,0.6278772477527284,8.371505245768482,18.36265970139855,20.226237935126452,10.505616628722464,73.4,8.921,4.8,0.5986943610522103,335.1066666666666,91.6,59.07,53.92333333333333,0.3502807355596909,1.941338462138163,9.04,3.9663999999999997,9.225066666666665,0.22209874242115574,-1.2310659876520975,1.124317694015428,0.0011475920761930295,2.9073534768135705,19.991318450413626,0.9470933333333333,19
00007,"['0', '5', '7', '12']",18.082329648785798,0.5509137952920268,0.41332010759268123,7.744358107759961,18.974821486057184,20.571744498417434,10.50114046466594,73.44,9.281,4.8,0.5740935324778161,344.6,84.76,62.05333333333333,54.93333333333333,0.08656209612152051,1.8156614094993102,8.32,3.630399999999999,7.012,0.2647853056993713,-1.0942140164620466,1.1064920986962705,0.0011575873785186178,2.923970904879785,19.86646342593566,0.9885084444444444,19
00008,"['0', '5', '8', '13']",17.174391103011022,0.7220217131436464,0.25464561038409333,7.3329108408926835,19.108932301473722,18.690234121752027,13.735661951871068,72.36,10.201,4.88,0.5280089629224171,350.06666666666666,83.91999999999999,69.03,54.91666666666666,-0.0865047263912752,1.7707776354083178,8.04,3.5296000000000003,5.989333333333334,0.2934832448436069,-0.9234456259262842,1.2205621351646974,0.0012491984191314066,2.9483904093564046,18.452424926074706,1.0261120000000001,19
00009,"['0', '5', '9', '14']",15.97205079040917,0.7621222455654814,0.19916236840323398,7.4263793034389565,18.850401919283723,18.288229002796996,15.246838474148712,70.28,11.401,4.88,0.46970061249132766,344.53333333333336,85.74666666666666,79.13000000000001,57.48999999999999,-0.1897859511078596,1.6090229820844766,8.04,3.5279999999999996,5.881733333333333,0.24711897447023112,-0.8218843298541916,1.0085862455433539,0.0009495727478294466,2.944360470495451,15.4252823743872,0.7639537777777778,15
00010,"['0', '5', '10', '15']",14.577164734082803,0.7346928063720782,0.2054388352001138,7.498454966693281,18.53557870231751,18.697298230781154,16.56520842267463,67.8,12.841,4.96,0.41171750825550985,331.9199999999999,89.18666666666667,89.59666666666668,58.30999999999999,-0.27731429202872154,1.5495555562660919,8.04,3.6031999999999997,5.6756,0.16268052162746716,-0.7385693846168658,0.9837762614909269,0.0008247787953949893,2.953197259727698,13.703735646807404,0.5900586666666666,12
00011,"['0', '5', '11', '16']",13.269525455813714,0.7032889051638987,0.20819620163134026,7.832498492196175,18.31808437215964,19.21197655507547,17.31865189354975,65.76,14.401,5.04,0.3630483906636543,319.96,94.4,99.46,57.60666666666666,-0.3143506284843995,1.573704670724637,8.0,3.7488000000000006,5.4028,0.05540323523007149,-0.7003726268206488,1.2033794164322176,0.001016275078731556,2.9851007123805973,12.63674256743342,0.4714808888888889,11
00012,"['0', '5', '12', '17']",12.220094415337119,0.6746172767028658,0.2181399977104661,8.174015781557094,18.374678232051107,19.228754127533563,20.000797923277084,64.4,15.880999999999998,5.2,0.3393905628414403,311.57333333333327,95.48,109.87333333333333,58.47,-0.3213967382216783,1.5345125355391818,7.8,3.7904,5.358133333333334,-0.04378199936080294,-0.7742561599906209,1.2276490116281666,0.001032928120657872,2.9898625901655596,11.74337679530291,0.39121777777777783,13
00013,"['0', '5', '13', '18']",11.388852294687231,0.6517138282985844,0.22839291870476078,7.887125156840179,18.749685302844718,21.264862420721535,20.063369517582636,63.84,17.320999999999998,5.28,0.31810997341195646,305.59999999999997,94.46666666666665,119.56333333333333,58.77333333333332,-0.29708387454097573,1.5695362708057106,7.68,3.7472,5.278933333333333,-0.1281624170715207,-0.8392499548435204,1.11535714257157,0.0009496461645588461,2.9809214236308166,11.331438248313926,0.2992071111111111,12
00014,"['0', '5', '14', '19']",10.774358889021817,0.6862494921971259,0.21710468333045863,8.006046393429838,19.15946884139278,19.96521857434683,19.924376906299628,64.16,18.680999999999997,5.44,0.30670444947549236,300.94666666666666,92.04,129.13333333333333,58.46333333333333,-0.2506010103303973,1.675386973958514,7.56,3.6736,4.927866666666667,-0.15677596459201074,-0.8139613061032438,1.1294247131810178,0.0009663031767251606,2.984472585380794,10.95098151286225,0.24383288888888888,11
00015,"['0', '5', '15', '20']",10.379220076467417,0.6647355026420813,0.26424675625476074,8.163004487341919,19.848586829332177,18.6173647726178,20.092954913518284,65.44,19.921,5.52,0.29421825724806183,307.5333333333333,88.09333333333332,139.02,59.10333333333333,-0.23621274889732313,1.7197886112807552,7.64,3.5232000000000006,4.702266666666667,-0.06559058492123276,-0.634114604938936,1.060855397299931,0.0009496333727212001,2.9805496832265095,10.454680091502947,0.22586311111111113,8
00016,"['0', '5', '16', '21']",10.126709294148572,0.4784679810845379,0.43280185845885794,8.024336197833104,20.527677322290906,17.193382514773567,19.26990414897467,66.56,20.840999999999998,5.6,0.28711564800783734,310.33333333333337,84.77333333333333,148.1,60.44,-0.18187300527180697,1.7255427685668943,7.68,3.4208000000000003,4.355066666666667,0.02729163914356846,-0.3795243574038533,1.1055946861465271,0.001049513836493657,2.9905124643483534,10.128736500985202,0.18140444444444445,5
00017,"['0', '5', '17', '22']",10.031400240933385,0.38710487000542393,0.5678245422636365,7.923344321791608,21.04632304181433,15.537285025360461,20.16007473372189,67.28,21.281,5.6,0.28199040250876356,313.05333333333334,84.17333333333335,153.23333333333332,60.80999999999999,-0.16482345719393515,1.7192252617830706,7.8,3.4048000000000003,3.8859999999999997,0.05898448106198249,-0.06367866992927997,1.2479330651846758,0.0011827484172643016,3.0123913285613577,10.40885938924971,0.14001777777777777,5
00018,"['0', '5', '18', '23']",10.061481075000778,0.49725933401416494,0.48350583174178496,8.164643231029672,21.229734138403984,13.778216645450868,18.654064794463235,67.52,21.281,5.6,0.28199040250876356,316.17333333333335,85.33333333333334,154.59666666666664,60.98333333333333,-0.17862591565391625,1.6876361672554026,7.88,3.448,3.4866666666666664,0.10138937879463467,0.1762982621223938,1.555968402704488,0.0015490356949568866,3.040368670454592,10.40885938924971,0.09179733333333334,5
00019,"['0', '5', '19', '24']",10.107870793910175,0.3992348921226924,0.5350532133404104,8.318086796217713,19.680954836599877,13.669963842778987,16.203612922624483,66.84,20.961,5.68,0.29212452942054173,313.06666666666666,86.29333333333332,152.3,61.94333333333332,-0.20489434822839594,1.713868269141175,7.92,3.4624,3.194133333333333,0.1588322190149597,0.3570352312414713,1.8393502157836492,0.1285742189916051,3.0619153368827146,10.739392396605332,0.08208355555555556,4
00020,"['0', '5', '20', '25']",10.14658008377944,0.29374040364070725,0.6137243194639048,9.172883802484346,17.940869927541414,13.446317345969444,14.73966313055043,64.8,20.241,5.76,0.31020772001481567,301.84,85.8,145.17666666666665,63.01333333333333,-0.25293620755537766,1.7855589110828354,8.0,3.4496,3.234533333333333,0.26877631347575287,0.4664945196944101,1.9020872930036197,0.12865746824739116,3.062533383343025,10.454680091502947,0.121856,5
00021,"['0', '5', '21', '26']",10.279451543117473,0.3387606858644541,0.5794727823467789,9.977261193831282,16.09562549584076,10.663289767771953,14.909461308868236,62.24,19.201,5.84,0.3382724509073718,293.90666666666664,83.10666666666665,134.31,63.36999999999999,-0.35281307459933325,1.8104797010694238,8.04,3.3392,3.466666666666666,0.3472912040333897,0.4039393620688564,1.7426276872628494,0.2251266526521203,3.0296192979068697,10.50560684631624,0.13051733333333335,5
