ID,coords,att_12,att_12_m_I,att_12_g_C,sect1,sect2,sect3,sect4,maximo,maximo_2,maximo_3,ratio32,area1,area12,area2,area3,kurt_1,kurt_2,middle_maximo,mean,var,skew,kurt,geo_mean,har_mean,entr,att_12_prof,porosity
00000,"['0', '9', '0', '9']",9.179392128123776,0.7404572196330268,0.2484809082164121,8.987140211797431,13.102651233068423,8.853530875934844,12.869962141628287,56.0,19.877543209876546,1.728395061728395,0.10598396928039605,260.30041152263374,75.58436213991769,113.60185185185183,32.758230452674894,1.520124624731448,2.454705466481948,5.530864197530864,3.233086419753086,1.5721399176954733,0.18695565423234137,-0.81836080057204,2.755872974734033,2.3949806043966038,3.107127599214319,11.01506161019977,0.0
00001,"['0', '9', '1', '10']",9.145644446010646,0.7494015286552935,0.2401300602496001,8.938044663803375,13.043902258693803,8.776100590073717,12.747593399629668,55.81481481481482,19.902234567901235,1.728395061728395,0.1059290422277027,257.1111111111111,75.67489711934155,112.76543209876542,32.76337448559671,1.4403531142398966,2.656078427744502,5.679012345679013,3.233086419753086,1.6441152263374488,0.22283561696723536,-0.7076584874794276,2.7483996973575904,2.379936975131631,3.1053250595478326,10.234844764069297,0.0
00002,"['0', '9', '2', '11']",9.045919407713365,0.8284545004032314,0.18144888201254444,9.113862066730144,12.913400564031017,9.354980215442547,12.405930190795099,55.71604938271605,20.124456790123457,1.7407407407407407,0.10558767924565889,253.94650205761315,75.9341563786008,113.12345679012344,32.6820987654321,1.395857248022933,2.8022923995181537,5.901234567901234,3.2444444444444454,1.7360905349794242,0.2780289524507986,-0.5181235862993431,2.760214479643333,2.404022663941309,3.1034029806763472,9.34468086126284,0.0
00003,"['0', '9', '3', '12']",8.860760247459798,0.8656310996352992,0.1310823480323432,9.365675585679359,13.296798854338984,9.352573467839868,11.926338275963186,55.95061728395062,20.642975308641976,1.7530864197530864,0.10359269124505711,250.4938271604938,77.32921810699588,114.32818930041151,32.395061728395056,1.3532733130994012,3.0457626960071953,6.197530864197531,3.30320987654321,1.8309053497942391,0.3377794482347869,-0.31210748650737835,2.8209704136220544,2.4292862128185764,3.1054387701467,9.170260146144788,0.0022581369248035913
00004,"['0', '9', '4', '13']",8.619566047341184,0.7989162756148482,0.17030700336191634,9.670814207091057,14.253654449888089,9.352573467839868,11.44383530995124,56.96296296296296,21.482481481481482,1.7407407407407407,0.09714677539852531,252.60905349794237,79.61728395061728,116.97942386831274,32.443415637860085,1.3485080721499774,3.3296083845484197,6.592592592592593,3.404444444444444,1.9956790123456791,0.43698519668236,-0.06943590710386316,2.9043867584158884,2.4091052886882314,3.1134291492143293,9.357006400189938,0.017741863075196408
00005,"['0', '9', '5', '14']",8.426692615547463,0.6870219207624337,0.26437386579018246,9.89815844481586,15.592462214359427,9.352573467839868,11.073081725077145,57.60493827160494,22.087419753086422,1.728395061728395,0.09213871873561856,255.21810699588474,81.19753086419753,118.37860082304529,32.333333333333336,1.3313154330374914,3.6582279294141435,6.925925925925926,3.4809876543209874,2.157695473251029,0.5257052483451317,0.1262485820747619,2.940713181074954,2.3833430445595916,3.117555729801352,8.979408059396993,0.05675869809203143
00006,"['0', '9', '6', '15']",8.403841617482463,0.6821849454979715,0.27693940641725917,9.988895296927355,16.22866632157765,9.226956786244955,10.91537138820095,56.79012345679013,21.88988888888889,1.728395061728395,0.09417753899081047,253.03703703703698,80.55555555555556,115.46913580246914,32.03600823045267,1.243635456878652,3.9836299515099056,7.098765432098766,3.4612345679012346,2.32119341563786,0.5614930916418786,0.2239295393198395,2.783002794377464,2.1453279652255275,3.1061736892801184,8.584635439252791,0.10979573512906846
00007,"['0', '9', '7', '16']",8.514237286927367,0.7677521154344819,0.2095693095580027,10.026784777406316,15.796663041256082,9.46337549274198,10.848796757996626,54.97530864197531,21.075074074074077,1.728395061728395,0.1001842713204894,253.98353909465018,78.6872427983539,110.16975308641975,32.15432098765433,1.0766269670260038,4.11376704085579,7.2592592592592595,3.3916049382716054,2.655555555555556,0.5804286176064444,0.24152308076683107,2.5416423632910443,1.834990559592068,3.081780046389921,8.517058716985545,0.16398428731762066
00008,"['0', '9', '8', '17']",8.751978936344795,0.8044517617448248,0.17976835957078854,9.703399680636922,15.345126477742413,9.264050075877988,11.153640292759398,52.617283950617285,19.815814814814818,1.7160493827160495,0.10854066818344565,259.98765432098764,75.77366255144032,103.40534979423869,32.07921810699588,0.8483240197914855,4.10562759569827,7.45679012345679,3.2780246913580244,3.190864197530864,0.6353175843308213,0.24366969743094383,2.2274320662055818,1.4439085571903951,3.0435298103423345,8.896312123239138,0.3501571268237935
00009,"['0', '9', '9', '18']",9.074254975907188,0.8442482690916792,0.14088995228906906,9.258885864483522,15.3322443603048,9.098942475780362,11.618013417378329,50.45679012345679,18.470135802469137,1.7037037037037037,0.11727546903645486,272.93004115226336,72.92592592592592,97.47736625514402,31.88786008230453,0.611900208823036,3.9082988667581597,7.567901234567901,3.160987654320988,3.6753497942386835,0.6571017538060109,0.21626615373251265,1.8761237679192655,1.0545928831548563,3.006306762770498,10.009296915073925,0.4069135802469136
