ID,coords,att_12,att_12_m_I,att_12_g_C,sect1,sect2,sect3,sect4,maximo,maximo_2,maximo_3,ratio32,area1,area12,area2,area3,kurt_1,kurt_2,middle_maximo,mean,var,skew,kurt,geo_mean,har_mean,entr,att_12_prof,porosity,l_n_voids
03481,"['94', '101', '3', '10']",12.870584352674541,0.8578817626836139,0.12480916267446175,8.601703997660383,17.27480052449159,9.950848389998871,12.857831127916386,65.51020408163265,15.225489795918367,16.448979591836736,1.1459734042538772,293.3401360544217,80.9251700680272,109.07482993197277,160.19047619047618,1.6353516734519546,1.3800574143543345,6.918367346938775,3.342040816326531,4.052108843537415,0.1706176059824444,-0.8965949114475583,1.7429347721668695,0.36080340355143214,3.013942815860435,12.65374975223192,0.44495238095238093,32
03482,"['94', '101', '4', '11']",12.644044159094756,0.7974428970229338,0.1910558847428045,8.654061742718946,19.273360706400975,10.808516204679565,12.857831127916386,67.16326530612245,15.878551020408162,15.653061224489797,0.9865564237277203,296.2244897959184,87.9047619047619,116.22108843537413,146.61904761904762,1.6282052937869496,1.2002744362517594,7.510204081632653,3.6236734693877546,4.685238095238095,0.18628426728612457,-0.8736768047981749,1.9761074304819477,0.41653557962024,3.025531276816793,12.412561667880375,0.4571827664399093,39
03483,"['94', '101', '5', '12']",12.656931262035823,0.6873445248983516,0.28135863324394916,8.638040706503608,18.5238575669527,10.677314684375558,11.511510669079687,66.95918367346938,15.796918367346938,15.408163265306122,0.972172799930565,297.0408163265306,93.37414965986395,116.95918367346937,139.30272108843536,1.5921032091883884,1.1529131117359335,8.122448979591837,3.8473469387755097,5.6368027210884355,0.21133559968395196,-0.830296168384472,2.0363215365672835,0.37187313858616267,3.015358715477187,11.778528768781708,0.5260480725623583,38
03484,"['94', '101', '6', '13']",12.971372123241107,0.6940200240032818,0.2668381859875078,8.537350369474689,17.776975585288778,11.271623608929369,9.161616951131728,66.0,15.123448979591837,14.612244897959183,0.9636773979765109,298.6394557823129,98.89115646258502,112.9081632653061,132.41666666666666,1.533956256565883,1.2138392796060817,8.89795918367347,4.078367346938776,7.11938775510204,0.24945546797322593,-0.7521445620039827,2.0647604297722593,0.4177687094105444,2.998337193742858,12.780252244706498,0.5384888888888889,34
03485,"['94', '101', '7', '14']",13.41214740117257,0.8105176510590969,0.1787053341395924,8.305451136907584,17.283045771874427,12.00358317102979,5.896472021970877,65.14285714285714,14.245897959183672,13.489795918367347,0.9452492037987554,307.0612244897959,104.99319727891157,107.10204081632651,123.18027210884352,1.4915394777505622,1.290387638191415,9.612244897959183,4.348571428571429,8.812040816326531,0.23163728230237637,-0.7007737224313408,2.1416664190148307,0.3938324677205949,2.9863003440734412,13.975058227275772,0.5474104308390022,34
03486,"['94', '101', '8', '15']",13.93092063912015,0.8421340189165856,0.1592444450604305,7.776384356672599,16.90887895178717,13.611845002750126,4.095751874789989,64.87755102040816,13.307122448979591,12.36734693877551,0.9294143604154442,325.891156462585,111.81632653061223,100.54591836734694,113.43877551020408,1.466299486362032,1.3190079195253213,10.346938775510203,4.650612244897959,10.303673469387757,0.23981268674539216,-0.6302686316692544,2.4272742995288747,0.7415635463762645,2.983784620831267,14.873927611485087,0.582421768707483,36
03487,"['94', '101', '9', '16']",14.446143941547902,0.7836864791206608,0.20171337612872298,7.365228467152405,16.503440634574694,15.61374779334362,2.294487826921581,65.55102040816327,12.57242857142857,11.53061224489796,0.9182277577093995,348.50340136054416,119.40816326530613,94.27380952380952,106.19727891156464,1.4505891280584535,1.3784994197049862,11.244897959183673,4.98204081632653,11.903197278911565,0.2752280286402041,-0.5435535295394278,2.715653554902544,1.041722101197848,2.980553674854948,16.11804228842096,0.6312634920634921,33
03488,"['94', '101', '10', '17']",14.998144597989436,0.6503532837306125,0.3130398471320052,7.202233463523729,16.183333182444567,16.649751292309894,1.3802012632363034,67.08163265306122,11.980591836734693,10.918367346938776,0.9119257034851526,371.80272108843536,127.3877551020408,89.52891156462586,101.19727891156461,1.4431983829958537,1.4200224735171152,12.142857142857142,5.324081632653061,13.687619047619046,0.3264905319751839,-0.48171163117723875,2.945487439675263,1.2838850630032557,2.973783398603393,15.816956750878559,0.6176290249433106,34
03489,"['94', '101', '11', '18']",15.501586691955623,0.4061994028130489,0.5149683125415382,7.228951389685727,16.06277656031208,17.603384967693593,1.3802012632363034,69.0204081632653,11.613244897959182,10.46938775510204,0.9030577233187324,389.13605442176873,135.30612244897958,87.39625850340137,97.42687074829932,1.4789971904873318,1.4023399224141986,13.0,5.652244897959183,15.591496598639456,0.35357580515587583,-0.47778022970219264,3.1198181284075663,1.4321723991051762,2.9674465359308266,15.43640442179268,0.6906340136054422,35
03490,"['94', '101', '12', '19']",15.980655187664986,0.46913021963265666,0.4675875333423915,7.3543034590980145,16.063946469539342,17.231010577859628,1.3802012632363034,70.89795918367346,11.327530612244898,10.142857142857142,0.8972623379836238,395.6462585034013,142.7823129251701,86.91666666666666,94.18707482993196,1.5697621724936501,1.3185540507566555,13.73469387755102,5.954285714285714,17.4043537414966,0.37249895924450777,-0.5452812679807052,3.343484992972179,1.5931425183507562,2.967256028348872,16.432841138874792,0.7580807256235828,32
03491,"['94', '101', '13', '20']",16.530052545141235,0.5780238322955763,0.3653068979777187,7.50969186135609,16.06452361376891,16.39299841408167,1.3802012632363034,72.42857142857143,10.980591836734693,9.714285714285714,0.8879334883848136,398.4557823129251,149.44897959183672,86.42006802721087,90.67517006802719,1.6590278771690692,1.1108416403760801,14.26530612244898,6.216326530612244,18.68680272108844,0.40896063290230134,-0.6524461199720398,3.669646671763442,1.7950233747895814,2.9748041505560625,16.55093942117829,0.8757079365079365,32
03492,"['94', '101', '14', '21']",17.30228344151374,0.7163872241029652,0.2522248591777657,7.612304652777223,15.911616869517287,15.611389469318798,1.8599728164714406,73.51020408163265,10.409163265306121,9.16326530612245,0.8895204965839605,402.2925170068027,156.18367346938774,84.01870748299321,86.87244897959182,1.7043066699891853,0.9026409740188404,14.89795918367347,6.476734693877552,19.439319727891153,0.4776633384081147,-0.7035370389113319,4.137482089839796,2.4226869323549707,2.9861163739556402,18.409139851941877,1.0083337868480726,35
